БИН;Название;Рег. номер (лицензия);Руководитель (ФИО);Адрес;Контакты (тел./email/сайт);Дата включения в реестр;Дата исключения;Основание исключения;Статус
201040030540;"ТОО ""Коллекторское агентство ""Legal""";17.К.20.005;Ташенова Галина Хамзиевна;г. Шымкент, Аль-Фарабийский район, улица Толеген Тажибаева, дом 20 почтовый индекс 160013;8-747-315-31-12, ka-legal@mail.ru;13.11.2020;27.12.2021;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
180440001126;"ТОО ""Коллекторское агентство ""Litera-finance""";53.К.18.003;Демеуов Марат Ганович;г. Астана, район Есиль, пр-т Туран, д. 19, корпус 1, ВП 2.;8(7172)67-89-02, too.litera.finance@gmail.com;02.05.2018;09.06.2020;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
150840022930;"ТОО ""Коллекторское агентство ""M-Solutions""";05.К.18.018;Турысбеков Бекзат Канатович;050057, г. Алматы, Бостандыкский район, ул. Манаса, д. 34, офис 216;"8 (727) 346-87-87 вн. 1025 info@m-solutions.kz; www.m-solutions.kz;";29.06.2018;12.07.2021;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
160240015600;"ТОО ""Коллекторское агентство ""MEMo Collect""";05.К.18.012;Серикжан Жандос Аскарулы;050022, г. Алматы, Бостандыкский район, пр. Сейфуллина, дом 597 «А», офис 405А;8 (727) 346 89 11, info@memocollect.kz, www.memocollect.kz;28.03.2018;10.09.2019;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
210640035463;"ТОО ""Коллекторское агентство ""MRB""";10.К.21.001;Абикенов Берик Римович;г.Костанай, ул.Каирбеков, д.75;+77015320564, ca.mrb@mail.ru, https://mrb.kz/;26.07.2021;25.02.2022;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
210940025625;"ТОО ""Коллекторское агентство ""Money Collection""";02.К.21.022;Жангужинов Ерлан Еркенович;050012, г. Алматы, Алмалинский р-н, пр. Сейфуллина, д.472, кв.8;+7-701 221 26 636, erlanzh@mail.ru;16.11.2021;25.02.2022;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
201240010965;"ТОО ""Коллекторское агентство ""Murager""";17.К.21.002;Шакенова Перизат Сейткаримқызы;г. Шымкент, район Каратау, Микрорайон Нурсат, дом 46, кв. 3, почтовый индекс 160023;87074609013, Murager111@mail.ru;03.02.2021;13.07.2022;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
181240019392;"ТОО ""Коллекторское агентство ""NESIBE Collection""";14.К.19.002;Турлыбекова Камшат Талгарбековна;H04D5X0, Жамбылская область, г. Тараз, массив Арай, ул. Д. Баянова, 155;8 702 111 20 40 too.nesibe@mail.ru;29.07.2019;09.06.2021;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
190840012267;"ТОО ""Коллекторское агентство ""NICE""";14.К.19.003;Битуева Нафисат Магомедовна;H01E9F6, Жамбылская область, г. Тараз, 2-пер. Генерала Рахимова, 1А;8 (7262) 54-00-19, e-mail: kti-collectors@mail.ru;19.09.2019;15.07.2021;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
200540004874;"ТОО ""Коллекторское агентство ""NYR&ADI""";02.К.20.011;Кабдосова Алия Нурлановна;050040, г.Алматы, Бостандыкский район, бульвар Бухар Жырау, 32, кв. 3;87767001045, too_nyradi2020@mail.ru, nacollector.kz;20.07.2020;13.04.2023;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
190540002407;"ТОО ""Коллекторское агентство ""Naiza""";05.К.19.012;Уразалиев Еркебулан Рашитович;г. Алматы, Алмалинский р-н, ул. Муканова, д. 113, офис 203;"8-700-727-09-60; eurazaliev@gmail.com";14.06.2019;16.02.2022;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
200740021732;"ТОО ""Коллекторское агентство ""Nomad Collection""";02.К.20.017;Жакупов Асхат Абаевич;050021, г. Алматы, Медеуский район, микрорайон Самал-2, дом 97;8-701-933-88-05, info.shlcollection@gmail.com, www.shlcollection.kz;14.08.2020;05.06.2023;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
140540015945;"ТОО ""Коллекторское агентство ""Nomad Union""";05.К.19.008;Утепбергенов Талгат Габдулгазизович;050008, г. Алматы, Бостандыкский район, пр. Абая, д.68/74;"8 (777) 233-33-36; nomad_union@mail.ru; www.nomadunion.kz";30.04.2019;25.02.2022;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
170240005318;"ТОО ""Коллекторское агентство ""PAY DEBTS""";58.К.18.008;Кенчинбаев Дмитрий Юрьевич;г.Шымкент, Енбекшинский район, Микрорайон Северо-Восток, здание 303В, 9, почтовый индекс 160000. фактический адрес: г.Шымкент, Енбекшинский район, Микрорайон Северо-Восток, здание 303В, 9, почтовый индекс 160000;тел. +7 701 730 00 60, KA.PayDebts@gmail.com;19.04.2018;29.06.2021;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
180340037074;"ТОО ""Коллекторское агентство ""Phoenix""";58.К.18.011;Кыдырбаева Айжан Нурланқызы;г.Шымкент, Каратауский район, мкр.Кайтпас, дом 580;тел. +7 701 026 0025 kydyrbayeva1995@list.ru;17.05.2018;20.09.2022;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
210840009312;"ТОО ""Коллекторское агентство ""Prof Collection""";02.K.21.019;Абай Зангар Жанайдарұлы;050062, г. Алматы, Ауэзовский р-н, ул. Кабдолова, д.22Б;8-727-356-70-71 info@proffcollector.kz www.proffcollector.kz;01.10.2021;26.10.2022;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
180240018222;"ТОО ""Коллекторское агентство ""Professional Collection Group""";58.К.18.009;Байдильдаев Дидар Курманбекович;г.Шымкент, Енбекшинский район, ул.Караменди батыра, здание 50;тел. +7 (7252) 39-07-51, +7 701 981-21-33 professional_collection_group@mail.ru;19.04.2018;31.10.2025;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
161240022498;"ТОО ""Коллекторское агентство ""Q Collection""";05.К.19.016;Ревшанов Джамбул Айтгулович;050000, г. Алматы, Медеуский район, улица Айтеке би, дом 55;8-747-095-11-28 q.collection@mail.ru www.qcollection.kz;14.10.2019;05.10.2023;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
190940026210;"ТОО ""Коллекторское агентство ""Qazaqstan collection""";02.К.20.006;Ким Дмитрий Алексеевич;050000, г. Алматы, Алмалинский район, улица Байтурсынулы, дом 1А, нежилое помещение 4, этаж 4, офис 5;8 (727) 355-00-27, dmitriy.kim@fasp.kz www.qlc.kz;25.05.2020;11.11.2021;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
180640010975;"ТОО ""Коллекторское агентство ""REGION""";58.К.18.020;Набиева Балжан Жанайдарқызы;"Место нахождения: г.Шымкент, Аль-Фарабийский район, проспект Кунаева, дом 59, БЦ ""Астана""; фактический адрес: г.Шымкент, ул.Токаева, 27/2, 4 этаж";тел. +7 701 384 14 14 tookaregion@gmail.com tooregion.site;09.08.2018;15.11.2019;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
210140000620;"ТОО ""Коллекторское агентство ""Recovery Solutions Group""";02.К.21.004;Даулетова Салтанат Бериковна;000060, г. Алматы, Бостандыкский р-н, пр. Гагарина, здание 124, кв.177;8-701-789-88-95, S_Dauletova@rsgcollection.kz, rsgcollection.kz;18.02.2021;19.07.2021;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
200740020040;"ТОО ""Коллекторское агентство ""SHL Collection""";02.К.20.012;Азыхан Азамат Қуанышұлы;050040, г. Алматы, Бостандыкский район, улица Пирогова, д. 31, офис 405;8-701-933-88-05, info.shlcollection@gmail.com, www.shlcollection.kz;07.08.2020;03.05.2022;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
180540027292;"ТОО ""Коллекторское агентство ""SMART Collection""";58.К.18.015;Иханов Дамир Маратович;г. Алматы, Бостандыкский район, ул.Абая, д.76/109, офис 103 а;+7 708 551 53 05 info@smartcollect.kz;05.07.2018;12.07.2021;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
200840026281;"ТОО ""Коллекторское агентство ""STAR collection""";17.К.20.002;Султан Омар Асхатулы;г. Шымкент, Аль-Фарабийский район, проспект Кабанбай батыра, дом 7, кв. 47, почтовый индекс 160000;8 702 994 63 48, ka_star_collection@mail.ru;29.09.2020;27.12.2021;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
160540014762;"ТОО ""Коллекторское агентство ""SVOY Capital+""";53.К.18.005;Сейтхадырова Эльмира Сайлаукуловна;г. Астана, ул.Иманова,19, оф.701Е, оф.701N;8(7172)78-70-55, svoycapital@mail.ru;06.06.2018;16.02.2022;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
221140034917;"ТОО ""Коллекторское агентство ""Samuryk""";17.К.22.004;Танабаева Гаухар Курмангалиевна;РК, Казахстан, г. Шымкент, район Каратау, микрорайон Кайтпас, улица С.Алибекова, 158, почтовый индекс 160000;тел. 8-701-845-17-97, 8-701-017-71-66 samuruk04@mail.ru, http:// www.samuryk.tilda.ws;30.12.2022;10.01.2025;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
200740017239;"ТОО ""Коллекторское агентство ""Smart Collection""";02.К.20.013;Бисенова Жанна Муратовна;050040, г. Алматы, Бостандыкский район, улица Пирогова, д. 31, офис 305;8-702-300-37-74, smart_collection@mail.ru, www.smartcollection.com.kz;07.08.2020;25.02.2022;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
190240017127;"ТОО ""Коллекторское агентство ""Special collection group""";58.К.19.003;Мырзагулова Нагима Бекмухановна;г.Шымкент, Енбекшинский район, ул.Ш.Уалиханова, здание 192/3;тел: +7-775-664-42-56, collection _agency_scg@mail.ru;15.03.2019;29.06.2021;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
210240006564;"ТОО ""Коллекторское агентство ""Time Money""";17.К.21.005;Джольшибеков А.Н.;г.Шымкент, Аль-Фарабийский район, Проспект Байдибек Би, здание 45, почтовый индекс 160000;8-778-403-67-55, time.money.20@bk.ru;25.03.2021;03.03.2022;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
201040030025;"ТОО ""Коллекторское агентство ""USTO Collection""";02.К.20.034;Мушрапилова Насиба Абдрашитовна;050000, г. Алматы, Медеуский р-н, мкр. Коктобе, ул. Кыз Жибек, д.149, офис 18;+7-701-737-97-63, too_qarjy2020@mail.ru, www.qarjycollection.kz;30.12.2020;04.03.2022;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
090940000503;"ТОО ""Коллекторское агентство ""Ultimatum""";05.К.17.009;Есенов Ерлан Асанович;050000, г. Алматы, Медеуский район, ул. Айтеке би, д. 55;8-727-356-05-77, вн. 274, Ultimatum.kz@yandex.kz, https://ultimatum.kz/;18.10.2017;26.12.2024;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
210640038140;"ТОО ""Коллекторское агентство ""VEK""";02.К.21.020;Карташов Валерий Георгиевич;050050, г.Алматы, Жетысуский район, улица Ратушного, дом 68;+7-701-088-88-07, 8-705-575-8488 kollectorcompany@mail.ru, http://agencyvek.kz;04.10.2021;25.02.2022;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
171140027090;"ТОО ""Коллекторское агентство ""VICTORIA""";05.К.18.005;Жежома Надежда Владиславовна;050008, г. Алматы, Бостандыкский район, ул. Мынбаева, д. 43А, офис 503А;"8(727)379 84 98; 8(727)357 39 03; incoming@lawyer.org.kz, http://lawyer.org.kz";07.02.2018;24.02.2022;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
180740000773;"ТОО ""Коллекторское агентство ""VOSTOK Collection""";09.К.18.002;Кожикова Гульжазира Есетхановна;г.Шымкент, ул.Байтурсынова, 78;"8 702 547 42 49; е-mail: collection.vostok@gmail.com; интернет-ресурс: http:/vostokcollect.kz/";27.11.2018;03.03.2022;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
190440006109;"ТОО ""Коллекторское агентство ""Zhan.KZ""";53.К.19.005;Шынибеков Жандос Амантаевич;г. Астана, улица Ш. Кудайбердиулы, дом 17, офис 7;8(7172)785084, zhandos2013@gmail.ru;21.06.2019;28.05.2021;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
190740031517;"ТОО ""Коллекторское агентство ""АРЛАН""";53.К.19.007;Ходжаназаров Айдарбек Асанович;г. Костанай, проспект Нұрсұлтан Назарбаев, дом 170;77142902424, info@olzhaagro.kz;12.09.2019;06.10.2020;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
180340008952;"ТОО ""Коллекторское агентство ""Аврора""";05.К.18.013;Кайнарбаев Серик Алпысбаевич;050000, г. Алматы, Бостандыкский район, Площадь Республики 13, этаж 6, офис №600;8 (777) 399 01 22 , avrora.collect@gmail.com, www.avroracollect.info;18.04.2018;20.12.2019;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
071140007104;"ТОО ""Коллекторское агентство ""Агентство по взысканию долгов""";05.К.17.013;Омарова Динара Каирбековна;050063, г.Алматы, Ауэзовский район, мкр. Жетысу 3, дом 25, корпус Б, офис 26;8 (727) 313 18 01, info@avdc.kz, www.avdc.kz;25.10.2017;04.05.2019;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
090540012304;"ТОО ""Коллекторское агентство ""Агентство по розыску и возврату долгов-ЭК""";32.К.17.001;Наурзгалиев Абай Акимгалиевич;141200, Павлодарская облась, г. Экибастуз, ул. Мәшһүр Жүсіп, д. 52 В, офис 323;Номер телефона 8 718 7 347836, номер факса 87187340195 arvd-ekibastuz1@mail.ru;01.11.2017;30.12.2019;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
190440025254;"ТОО ""Коллекторское агентство ""Агентство по сбору платежей""""";32.К.19.001;Смагулова Мадина Шамбыловна;S13E3H0, Павлодарская облась, г.Экибастуз, 4 Юго-Западный проезд, дом 23, S13P2D3, Павлодарская облась, г.Экибастуз, ул. Матросова, дом 6, офис №16;Номер телефона 8 718 7 799061, сот. тел: 8 777 9361447, e-mail: kasp-19@mail.ru,;09.08.2019;14.06.2021;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
120940009525;"ТОО ""Коллекторское агентство ""Азия Плюс""";18.К.18.003;Кенбаева А.А.;г. Астана, район Есиль, жилой массив Заречное, ул. Қаратөбе, здание 2А,;"87026302483, e-mail: info@asiaplus.kz; www.asiaplus.kz";25.10.2018;25.10.2019;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
120440007302;"ТОО ""Коллекторское агентство ""Азия""";16.К.22.001;Изотов Александр Александрович;071426, Восточно-Казахстанская область, г. Семей, поселок Шульбинск, Микрорайон 1 Микрорайон, дом 2;+7 702 618 07 39, +7 705 277 99 88, 2779988@mail.ru;10.02.2022;03.06.2022;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
200940017969;"ТОО ""Коллекторское агентство ""Акжол Финанс""";17.К.20.004;Рыскельдиева Жибек Ерликовна;г. Шымкент, Аль-Фарабийский район, улица Ахмет Байтурсынов, дом 86А, кв. 13, почтовый индекс 160021;8 701 527 77 72, zhibek_ryskeldie@mail.ru;02.11.2020;27.12.2021;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
160640024832;"ТОО ""Коллекторское агентство ""Алматы Коллекшн"" (""Almaty Collection"" Collection agency)";02.К.20.008;Суиндыков Нурбол Бекболатович;050062, г. Алматы, Ауэзовский район, улица Кабдолова, дом 22Б, офис 505;8 747 111 86 36, yerkanat.kazhgaliyev@gmail.com, www.Fbureau.kz;15.06.2020;05.06.2023;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
181040012388;"ТОО ""Коллекторское агентство ""Алматы Финанс""";02.К.20.007;Нурметов Олжас Нұсипханұлы;050062, г. Алматы, Ауэзовский район, улица Кабдолова, дом 22Б, офис 607;87273563541, info@afccollection.kz, www.afccollection.kz;15.06.2020;23.06.2023;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
210840030423;"ТОО ""Коллекторское агентство ""Альтернатива №1""";02.K.21.024;Калимулин Рустам Рафикович;050036, г. Алматы, Ауэзовский район, микрорайон Мамыр, ул. Спортивная, здание 3, н.п.44;+7-701 941 55 76, alternativa1@internet.ru;15.12.2021;20.02.2023;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
161240002512;"ТОО ""Коллекторское агентство ""Арбитр""";12.К.17.001;Ешибаева Лайла Куттыгаевна;060000, Атырауская область, г. Атырау, проспект Азаттық, д.72, н.п. 1;8 (7122) 306817, 87084208397, too-arbitr@yandex.kz;26.12.2017;03.12.2020;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
180640025597;"ТОО ""Коллекторское агентство ""Арна 1""";27.К.18.002;Грищенко Елена Владимировна;г.Костанай, ул.Аль-фараби, д.116;87052151558, doa198@mail.ru, www.arna1.kz;12.10.2018;24.12.2021;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
190740030618;"ТОО ""Коллекторское агентство ""Аспект Финанс""";02.К.20.028;Ирмекеев Серпер Еженханович;050000, г. Алматы, Алмалинский район, ул. Байтурсынулы, дом 1А, н.п. 4, 4 этаж, офис 3;8727-355-00-17, in@aspf.kz, www.aspf.kz;27.10.2020;11.11.2021;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
171140024165;"ТОО ""Коллекторское агентство ""Асыл-Қазына""";58.К.17.010;Шабдезим Галым;Местонахождение: г.Шымкент, Абайский район, пр.Б.Момышулы, здание 25/4.;"тел. +7 707 418 25 06 asyl-kazyna@inbox.ru; http://as-kaz.kz/";07.12.2017;24.01.2019;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
161240022061;"ТОО ""Коллекторское агентство ""Батыр""";14.К.18.001;Калкабаев Мухит Ахтанбердиевич;080000, Жамбылская область, г. Тараз, микрорайон Астана «12», дом 2, офис 1;8-705-104-77-36, 8-707-104-77-36, too_ka_batyr@mail.ru;10.01.2018;24.04.2019;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
080540001654;"ТОО ""Коллекторское агентство ""Бюро по обслуживанию долгов""";27.К.19.001;Гренц Виктор Андреевич;Костанайская обл., р-н Б.майлина, п.Тобол, ул.Элеваторная, д.75, кв.47;87474051415, buro@skg.kz, www.burocollektor.kz;19.06.2019;11.11.2022;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
080740001423;"ТОО ""Коллекторское агентство ""Бюро по работе с должниками""";05.К.17.018;Анафиянов Руслан Багдатович;050062, г.Алматы, Ауэзовский район, улица Кабдолова, дом 16;8 (727) 377 17 17, infobrd@brd.kz, www.kazcollektor.kz;15.11.2017;14.12.2021;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
220740034817;"ТОО ""Коллекторское агентство ""Винтаж Кредит""";01.К.22.001;Аманжолов Тимур Болатбекович;г.Астана, район Есиль, ул. Сығанак, дом 70, офис 913;8 727 327 77 99, 8 707 327 77 99 электронная почта: info@vintagecredit.kz;11.08.2022;30.11.2022;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
160640016059;"ТОО ""Коллекторское агентство ""Гарнет""";05.К.17.023;Сидоров Алексей Валентинович;050060, г. Алматы, Бостандыкский район, улица Радостовца, дом 213;8 (747) 227 47 47, info@garnet.kz, www.garnet.kz;21.11.2017;18.04.2025;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
201040030015;"ТОО ""Коллекторское агентство ""ДОЛЖЕН-ПЛАТИ""";02.К.20.031;БЕРЕГОВОЙ ГЕННАДИЙ АЛЕКСАНДРОВИЧ;город Актобе, район Астана, Переулок Касиподак, дом 12, кв. 8,;8-778-500-63-46, too_dolzhen-plati@bk.ru, сайт dolzhen-plati.kz;18.11.2020;16.09.2025;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
231140000032;"ТОО ""Коллекторское агентство ""Деловой статус""";02.K.24.003;Төлебай Дастан Ерболулы;A05F2D6, г.Алматы, Алмалинский район, улица Масанчи, 26, 307;8-777-055-58-99, delovoy.status@mail.ru, https://kollektor.kz/;11.03.2024;29.03.2024;подпункт 1-2) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
170140014869;"ТОО ""Коллекторское агентство ""Дельта М""";18.К.17.002;Жакслыков А.С.;Карагандинская область, г.Караганда, ул.Ержанова, дом №18, 6 этаж;7 (7212) 99-65-02, a.zhakslykov@delta-m.asia;24.10.2017;04.09.2023;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
080740000306;"ТОО ""Коллекторское агентство ""Департамент взыскания долгов""";05.К.19.011;Миронов Денис Вячеславович;050062, г. Алматы, Ауэзовский район, улица Кабдолова, дом 16;8 (727) 377 17 21 info@cadvd.kz, www.cadvd.kz;31.05.2019;16.07.2021;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
080440018635;"ТОО ""Коллекторское агентство ""Дом взыскания долгов-1""";05.К.17.035;Шарипбаев Елнур Дуйсенгалиевич;г. Астана, район Байконур, улица Малика Габдуллина, дом 19/1, н.п. 1;8 775 666 44 48 электронная почта: y.sharipbayev@grainconsortium.kz;27.12.2017;17.01.2022;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
180340019630;"ТОО ""Коллекторское агентство ""КОМЕК""";09.К.20.001;Тауекелова Зауре Кабыловна;Карагандинская область, г. Караганда, район им. Казыбек би, ул.Гоголя, 34А;+77789399900, businessmail2001@gmail.com;09.09.2020;16.07.2024;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
100340021172;"ТОО ""Коллекторское агентство ""Казахстанский Центр Взыскание Долгов""";18.К.17.004;Татриева Л.М.;Карагандинская область, г. Караганда, ул. Муканова 55Б, офис 304;8 (701) 331 00 05, kcvd@mail.ru, www.kcvd.kz;26.10.2017;26.01.2021;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
170840010950;"ТОО ""Коллекторское агентство ""Кайнар""";05.К.17.010;Сарсымбаев Михаил Жунусович;050063, г. Алматы, Ауэзовский район, ул.Ташкентская, дом 348/1, офис 119;8 (727) 221 05 95, info@kaynar-agency.kz, www.kaynar-agency.kz;19.10.2017;24.02.2022;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
180740001038;"ТОО ""Коллекторское агентство ""Каражат""";27.К.18.003;Басбаев Асилбек Абдумуталович;г.Костанай, ул.Карбышева, д.16;87777070789, collection.voctok@gmail.com, http://vostokcollect.kz;21.11.2018;30.06.2021;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
190440005953;"ТОО ""Коллекторское агентство ""Коллектор Финанс – СБ""";53.К.19.004;Ракишева Несипкуль;г. Астана, улица Ш. Кудайбердиулы, дом 17;8(7172)785084, astanacollpart@gmail.ru;21.06.2019;28.05.2021;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
191040009489;"ТОО ""Коллекторское агентство ""Комитет взыскания долгов""";02.K.22.002;Мартынюк Вадим Александрович;050012, г. Алматы, Алмалинский район, ул. Жамбыла, д. 114/85, оф. 8;8 701 680 33 33, kvdka@mail.ru, www.kvdka.kz;13.01.2022;19.04.2023;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
180740033254;"ТОО ""Коллекторское агентство ""Компромисс""";29.К.18.001;Ибрагимов Данияр;"Мангистауская область, г.Актау, 14 мкр., д.61; Мангистауская область, г.Актау, 28 мкр., д.46;";8-702-547-4249, compromise.collect@gmail.com;28.09.2018;20.12.2022;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
201240004886;"ТОО ""Коллекторское агентство ""Миллор""";17.К.21.001;Тажиева Макпал Махамбетовна;г.Шымкент, Аль-Фарабийский район, улица Мадели Кожа, дом 29, почтовый индекс 160021;8 701 242 77 99, millor2020@mail.ru;22.01.2021;13.07.2022;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
070140020842;"ТОО ""Коллекторское агентство ""НКА""";05.К.17.016;ШАЙКЕНОВА ЖАНАР МАРАТОВНА;050057, г.Алматы, Алмалинский район, пр-т Назарбаева, д.65 офис 209;8 (707) 620 65 57, 8-701-720-48-59, nca_kz_07@mail.ru, nca.kollektor@bk.ru https://nkagency.kz/;06.11.2017;12.01.2026;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
190740024475;"ТОО ""Коллекторское агентство ""НКК Беркут""";32.К.19.002;Кузембаев Нуртуар Куламергенович;S13E8С0, Павлодарская облась, г.Экибастуз, ул.Абая, здание 60/1;Номер телефона сот. тел: 8 701 7716069, e-mail: nkk-berkut@mail.ru;10.09.2019;25.05.2020;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
190940027010;"ТОО ""Коллекторское агентство ""Национальное Бюро Финансового Контроля""";05.К.19.025;Абзалов Сұлтан Мүслімұлы;050061, г. Алматы, Ауэзовский район, проспект Райымбека, д.348/1;+77272650194, koll@nburo.kz, www.nburo.kz;25.12.2019;29.06.2021;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
150540006402;"ТОО ""Коллекторское агентство ""Новый формат""";05.К.18.024;Ахметова Бакыткул Асанкызы;050000, г. Алматы, Алатауский район, ул. Рыскулова, д. 103/21;"8 (705) 785 42 87, newformatcollect@gmail.com; www.newformatcollect.kz;";15.10.2018;24.12.2019;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
161240019933;"ТОО ""Коллекторское агентство ""Нұркерей""";41.К.17.001;Бижанов Алибек Берикович;Алматинская область, Карасайский район, село Жалпаксай, ул. Сейтенова, д. 5;тел. 8 (727)3913982, сотовый 87018434120, neiman604@mail.ru;07.12.2017;24.08.2023;подпункты 1-2) и 5) пункта 1 статьи 9 Закона Республики Казахстан «О коллекторской деятельности»;Исключено
200540013566;"ТОО ""Коллекторское агентство ""Олжа""";05.К.17.016;Ходжаназаров Айдарбек Асанович;г.Костанай, пр. Нурсултан Назарбаев, дом 170;8 (7142) 57 91 53, 39 01 48, ka_olzha@mail.ru;28.08.2020;07.02.2025;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
