Название суда;Категория;Регион;Председатель/Руководитель;Адрес;Телефоны;E-mail;Режим работы
Военный суд Республики Казахстан;Военный суд;г. Астана;Мұсабекұлы Жандос;г.Нур-Султан, ул.Омарова 57;8-7172-71-05-11;020201@sud.kz;
Администратор судов по городу Нур-Султан;Администратор судов (Судебная администрация);г. Астана;Тауымбеков Ренат Омарович;г.Нур-Султан, ул.Сауран 32, блог B;8-7172-55-22-92;0101@sud.kz;
Абайский районный суд города Шымкента;Городской суд;г. Шымкент;Мұратбекұлы Дидар;г. Шымкент, ул. Ш.Калдаякова, 7 «а»;8- 7252-56-79-79;725-2501@sud.kz;
Аль-Фарабийский районный суд города Шымкента;Городской суд;г. Шымкент;И.о. Туреханов Сабит Ондыбаевич;г. Шымкент, ул. Майлы кожа, 7;8- 7252-99-73-37;725-2801@sud.kz;
Каратауский районный суд города Шымкента;Городской суд;г. Шымкент;Налибаев Алпысбай Балгабекович;г. Шымкент, ул. Токаева, 17;8- 7252-99-73-01;725-4701@sud.kz;
Суд города Шымкент;Городской суд;г. Шымкент;Рахимбеков Ербол Мухажанович;г. Шымкент, ул. Туркестанская, 87;8- 7252-99-75-20;725-0021@sud.kz;
Энбекшшинский районный суд города Шымкента;Городской суд;г. Шымкент;И.о. Токбергенов Сайдыбаттал Лаулинович;г. Шымкент, ул. Желтоксан, 1;8- 7252-30-14-11;725-2601@sud.kz;
Специализированный межрайонный административный суд города Шымкента;Специализированный административный суд;г. Шымкент;Аметов Бек;г. Шымкент, ул. Тыныбаева, 42;-;-;
Специализированный суд по административным правонарушениям города Шымкента;Специализированный административный суд;г. Шымкент;Калдаров Галым Калижанович;г. Шымкент, ул. Тыныбаева, 42;8-7252-99-74-47;725-1801@sud.kz;
Специализированный экономический суд города Шымкента;Специализированный экономический суд;г. Шымкент;Майсаканов Малик Алмазович;г. Шымкент, ул. Тыныбаева, 42;8- 7252-99-74-59;725-2210@sud.kz;
Специализированный межрайонный суд по уголовным делам города Шымкента;Суд по уголовным делам;г. Шымкент;Шахидинов Абсаттар Абдукаликович;г. Шымкент, ул. Тыныбаева, 142;8- 7252-99-74-37;725-2010@sud.kz;
Специализированный следственный суд города Шымкента;Следственный суд;г. Шымкент;Мынбатыров Галым Канбатырович;г. Шымкент, ул. Токаева, 17;-;170258@sud.kz;
Специализированный межрайонный суд по делам несовершеннолетних города Шымкента;Суд по делам несовершеннолетних;г. Шымкент;Сайханов Даурен Тусюпханович;г. Шымкент, ул. Туркестанская, 87;8- 7252-99-74-60;725-2211@sud.kz;
Военный суд Шымкентского гарнизона;Военный суд;г. Шымкент;Карим Берик Сейтжанулы;г.Шымкент, ул.2 Зеленная балка 4;8-7252-95-38-67;130226@sud.kz;
Администратор судов по городу Шымкент;Администратор судов (Судебная администрация);г. Шымкент;Мейрханов Берик Талгарбекович;г.Шымкент, ул. Туркестанская, 87;8- 7252-99-75-20;725-0902@sud.kz;
